ip_address,hostname,fqdn,region,status,vendor,model,role
10.30.75.94,SFOCASW37,SFOCASW37.west.lightspeed.net,west,degraded,Cisco,Catalyst9300,sw
10.70.220.26,GEGWADS16,GEGWADS16.northwest.lightspeed.net,northwest,active,Juniper,QFX5120,dist
10.60.229.80,BOSMART62,BOSMART62.northeast.lightspeed.net,northeast,down,Arista,7050X3,rtr
10.60.150.122,NYCNYAG35,NYCNYAG35.northeast.lightspeed.net,northeast,degraded,ADVA,FSP3000,agg
10.30.208.160,LAXCADS47,LAXCADS47.west.lightspeed.net,west,active,ADVA,FSP150,dist
10.60.63.248,PHLPAED74,PHLPAED74.northeast.lightspeed.net,northeast,active,Juniper,SRX345,edge
10.60.173.121,PHLPAAG66,PHLPAAG66.northeast.lightspeed.net,northeast,active,ADVA,FSP3000,agg
10.30.241.34,SEAWAAG07,SEAWAAG07.west.lightspeed.net,west,down,Arista,7280R,agg
10.10.171.208,AUSTXCO96,AUSTXCO96.central.lightspeed.net,central,degraded,Cisco,NCS540,core
10.30.178.51,LAXCASW74,LAXCASW74.west.lightspeed.net,west,active,Cisco,Catalyst9300,sw
10.70.202.65,PORORDS36,PORORDS36.northwest.lightspeed.net,northwest,active,Juniper,QFX5120,dist
10.70.151.231,BOIIDDS90,BOIIDDS90.northwest.lightspeed.net,northwest,down,ADVA,FSP150,dist
10.60.84.123,NYCNYED91,NYCNYED91.northeast.lightspeed.net,northeast,degraded,RAD,ETX-2,edge
10.70.23.136,GEGWASW47,GEGWASW47.northwest.lightspeed.net,northwest,active,Cisco,Catalyst9300,sw
10.30.90.45,SEAWAAG74,SEAWAAG74.west.lightspeed.net,west,active,Arista,7280R,agg
10.60.96.64,PHLPASW92,PHLPASW92.northeast.lightspeed.net,northeast,active,Cisco,Catalyst9300,sw
10.60.160.5,PHLPADS37,PHLPADS37.northeast.lightspeed.net,northeast,degraded,ADVA,FSP150,dist
10.30.76.217,SEAWART33,SEAWART33.west.lightspeed.net,west,active,Arista,7050X3,rtr
10.40.107.197,JAXFLED32,JAXFLED32.southeast.lightspeed.net,southeast,active,RAD,ETX-2,edge
10.70.17.120,BOIIDED87,BOIIDED87.northwest.lightspeed.net,northwest,active,RAD,ETX-2,edge
10.60.249.64,PHLPAED78,PHLPAED78.northeast.lightspeed.net,northeast,active,RAD,ETX-2,edge
10.20.239.99,PITPAED03,PITPAED03.east.lightspeed.net,east,active,Cisco,ISR4431,edge
10.70.16.255,GEGWACO39,GEGWACO39.northwest.lightspeed.net,northwest,active,Juniper,MX204,core
10.70.73.193,PORORSW18,PORORSW18.northwest.lightspeed.net,northwest,active,Cisco,Catalyst9300,sw
10.60.134.36,BOSMADS58,BOSMADS58.northeast.lightspeed.net,northeast,degraded,Juniper,QFX5120,dist
10.70.240.199,GEGWASW39,GEGWASW39.northwest.lightspeed.net,northwest,active,Cisco,Catalyst9300,sw
10.70.107.118,GEGWAED39,GEGWAED39.northwest.lightspeed.net,northwest,degraded,RAD,ETX-2,edge
10.30.58.93,LAXCADS22,LAXCADS22.west.lightspeed.net,west,active,ADVA,FSP150,dist
10.60.60.242,BOSMAED91,BOSMAED91.northeast.lightspeed.net,northeast,active,RAD,ETX-2,edge
10.60.77.74,PHLPASW03,PHLPASW03.northeast.lightspeed.net,northeast,degraded,Cisco,Catalyst9300,sw
10.50.66.181,PHXAZAG81,PHXAZAG81.southwest.lightspeed.net,southwest,active,Arista,7280R,agg
10.30.128.94,SEAWASW45,SEAWASW45.west.lightspeed.net,west,degraded,Cisco,Catalyst9300,sw
10.60.141.175,PHLPASW35,PHLPASW35.northeast.lightspeed.net,northeast,active,Cisco,Catalyst9300,sw
10.60.56.61,BOSMADS18,BOSMADS18.northeast.lightspeed.net,northeast,active,ADVA,FSP150,dist
10.60.88.198,NYCNYDS02,NYCNYDS02.northeast.lightspeed.net,northeast,retired,Juniper,QFX5120,dist
10.60.121.194,BOSMAED69,BOSMAED69.northeast.lightspeed.net,northeast,active,RAD,ETX-2,edge
10.40.142.80,BNATNRT27,BNATNRT27.southeast.lightspeed.net,southeast,active,Arista,7050X3,rtr
10.20.137.222,ATLGADS37,ATLGADS37.east.lightspeed.net,east,active,Juniper,QFX5120,dist
10.60.6.177,BOSMADS76,BOSMADS76.northeast.lightspeed.net,northeast,active,ADVA,FSP150,dist
10.30.71.220,SEAWAED37,SEAWAED37.west.lightspeed.net,west,active,Cisco,ISR4431,edge
10.70.155.136,PORORED48,PORORED48.northwest.lightspeed.net,northwest,active,Juniper,SRX345,edge
10.50.121.91,ELPTXDS06,ELPTXDS06.southwest.lightspeed.net,southwest,active,Juniper,QFX5120,dist
10.70.68.111,GEGWAED53,GEGWAED53.northwest.lightspeed.net,northwest,active,Cisco,ISR4431,edge
10.70.95.254,BOIIDSW74,BOIIDSW74.northwest.lightspeed.net,northwest,degraded,Cisco,Catalyst9300,sw
10.60.244.95,BOSMAED15,BOSMAED15.northeast.lightspeed.net,northeast,active,Juniper,SRX345,edge
10.20.68.68,CLTNCED32,CLTNCED32.east.lightspeed.net,east,active,Cisco,ISR4431,edge
10.70.35.208,PORORRT59,PORORRT59.northwest.lightspeed.net,northwest,degraded,Arista,7050X3,rtr
10.70.65.117,PORORAG20,PORORAG20.northwest.lightspeed.net,northwest,active,Arista,7280R,agg
10.60.8.219,BOSMAED72,BOSMAED72.northeast.lightspeed.net,northeast,degraded,RAD,ETX-2,edge
10.30.194.250,SEAWART22,SEAWART22.west.lightspeed.net,west,degraded,Arista,7050X3,rtr
10.70.53.241,BOIIDDS25,BOIIDDS25.northwest.lightspeed.net,northwest,retired,ADVA,FSP150,dist
10.60.25.96,PHLPAED04,PHLPAED04.northeast.lightspeed.net,northeast,active,Juniper,SRX345,edge
10.20.119.224,CLTNCRT76,CLTNCRT76.east.lightspeed.net,east,active,Arista,7050X3,rtr
10.70.249.219,GEGWAED05,GEGWAED05.northwest.lightspeed.net,northwest,active,RAD,ETX-2,edge
10.10.55.108,DALTXED32,DALTXED32.central.lightspeed.net,central,active,Cisco,ISR4431,edge
10.20.55.206,ATLGART63,ATLGART63.east.lightspeed.net,east,active,Arista,7050X3,rtr
10.70.78.130,PORORDS08,PORORDS08.northwest.lightspeed.net,northwest,active,ADVA,FSP150,dist
10.20.79.58,CLTNCRT08,CLTNCRT08.east.lightspeed.net,east,retired,Arista,7050X3,rtr
10.70.28.187,GEGWASW14,GEGWASW14.northwest.lightspeed.net,northwest,active,Cisco,Catalyst9300,sw
10.70.72.14,PORORDS54,PORORDS54.northwest.lightspeed.net,northwest,degraded,ADVA,FSP150,dist
10.70.63.60,GEGWADS79,GEGWADS79.northwest.lightspeed.net,northwest,active,ADVA,FSP150,dist
10.30.99.106,LAXCASW43,LAXCASW43.west.lightspeed.net,west,active,Cisco,Catalyst9300,sw
10.30.180.221,SEAWAED13,SEAWAED13.west.lightspeed.net,west,degraded,Juniper,SRX345,edge
10.10.156.51,AUSTXRT38,AUSTXRT38.central.lightspeed.net,central,degraded,Arista,7050X3,rtr
10.10.37.238,DALTXDS47,DALTXDS47.central.lightspeed.net,central,active,Juniper,QFX5120,dist
10.60.124.56,PHLPAED46,PHLPAED46.northeast.lightspeed.net,northeast,active,Juniper,SRX345,edge
