ip_address,hostname,fqdn,region,status,vendor,model,role,missing_in_inventory,missing_in_ipam
10.60.58.184,NYCNYSW82,NYCNYSW82.northeast.lightspeed.net,northeast,active,Cisco,Catalyst9300,sw,0,0
10.20.165.159,PITPAED08,PITPAED08.east.lightspeed.net,east,degraded,Cisco,ISR4431,edge,0,0
10.10.100.90,OKCOKED47,OKCOKED47.central.lightspeed.net,central,active,Cisco,ISR4431,edge,0,0
10.10.129.73,AUSTXED50,AUSTXED50.central.lightspeed.net,central,active,Cisco,ISR4431,edge,0,0
10.30.254.24,SEAWADS99,SEAWADS99.west.lightspeed.net,west,active,ADVA,FSP150,dist,1,0
10.60.120.121,BOSMASW74,BOSMASW74.northeast.lightspeed.net,northeast,degraded,Cisco,Catalyst9300,sw,0,0
10.70.253.240,PORORED65,PORORED65.northwest.lightspeed.net,northwest,active,Cisco,ISR4431,edge,0,0
10.70.170.122,BOIIDAG99,BOIIDAG99.northwest.lightspeed.net,northwest,active,Arista,7280R,agg,0,0
10.60.42.208,BOSMAED20,BOSMAED20.northeast.lightspeed.net,northeast,down,Juniper,SRX345,edge,0,0
10.20.251.63,PITPADS14,PITPADS14.east.lightspeed.net,east,degraded,ADVA,FSP150,dist,0,0
10.30.45.50,SEAWAED55,SEAWAED55.west.lightspeed.net,west,active,RAD,ETX-2,edge,0,0
10.30.73.79,LAXCAED53,LAXCAED53.west.lightspeed.net,west,active,Juniper,SRX345,edge,0,0
10.70.12.136,BOIIDDS25,BOIIDDS25.northwest.lightspeed.net,northwest,degraded,Juniper,QFX5120,dist,1,0
10.20.104.248,ATLGASW85,ATLGASW85.east.lightspeed.net,east,degraded,Cisco,Catalyst9300,sw,0,0
10.10.195.137,OKCOKRT57,OKCOKRT57.central.lightspeed.net,central,active,Arista,7050X3,rtr,0,0
10.20.242.70,CLTNCRT47,CLTNCRT47.east.lightspeed.net,east,degraded,Arista,7050X3,rtr,0,0
10.60.27.227,BOSMADS24,BOSMADS24.northeast.lightspeed.net,northeast,active,Juniper,QFX5120,dist,0,0
10.70.179.119,BOIIDED73,BOIIDED73.northwest.lightspeed.net,northwest,active,Cisco,ISR4431,edge,0,0
10.20.162.180,CLTNCED94,CLTNCED94.east.lightspeed.net,east,degraded,Cisco,ISR4431,edge,0,0
10.30.184.209,SEAWAED60,SEAWAED60.west.lightspeed.net,west,degraded,Juniper,SRX345,edge,1,0
10.70.106.129,PORORSW06,PORORSW06.northwest.lightspeed.net,northwest,active,Cisco,Catalyst9300,sw,0,0
10.60.185.214,NYCNYED43,NYCNYED43.northeast.lightspeed.net,northeast,degraded,Cisco,ISR4431,edge,0,0
10.50.148.212,ELPTXDS86,ELPTXDS86.southwest.lightspeed.net,southwest,active,Juniper,QFX5120,dist,1,0
10.70.204.138,PORORAG10,PORORAG10.northwest.lightspeed.net,northwest,active,ADVA,FSP3000,agg,0,0
10.70.66.209,PORORED38,PORORED38.northwest.lightspeed.net,northwest,active,Cisco,ISR4431,edge,0,0
10.10.202.95,OKCOKSW30,OKCOKSW30.central.lightspeed.net,central,active,Cisco,Catalyst9300,sw,0,0
